image,video_pred,minutage_pred,evaluation
i371,v063,8.942267,TP
i372,v036,2.966667,TP
i373,v096,9.976633,TP
i374,v031,3.72,TP
i375,v067,17.9179,TP
i376,v021,11.56,TP
i377,v062,0,FP
i378,v064,5.739067,TP
i379,v007,0,FP
i380,v061,6.297958,TP
i381,v075,10.44,TP
i382,v034,23.314958,TP
i383,v076,7.9,TP
i384,v087,10.8,TP
i385,v069,9.12,TP
i386,v030,0,FP
i387,v061,0.083417,TP
i388,v002,8.375,TP
i389,v032,3.837167,TP
i390,v001,4.083333,TP
i391,v087,24.32,TP
i392,v068,7.04,TP
i393,v071,2.6026,TP
i394,out,,TN
i395,v066,13.533333,TP
i396,out,,FN
i397,out,,TN
i398,v096,0.133467,TP
i399,v019,22.313958,TP
i400,v099,0,FP
i401,v056,3.003,TP
i402,v082,1.918583,TP
i403,v058,18.966667,TP
i404,out,,FN
i405,v068,0.16,TP
i406,v092,17.7177,TP
i407,v087,5.08,TP
i408,v075,8.16,TP
i409,v066,2.333333,TP
i410,v029,12.833333,TP
i411,v017,0,FP
i412,v099,3.866667,TP
i413,v049,2.736067,TP
i414,v011,6.458333,TP
i415,v085,6.131125,TP
i416,v019,5.797458,TP
i417,v093,2.068733,TP
i418,v012,11.678333,TP
i419,v048,17.8,TP
i420,v007,13.546867,TP
i421,v058,10.866667,TP
i422,v031,0.0,TP
i423,v033,9.376033,TP
i424,v027,9.466667,TP
i425,v028,3.570233,TP
i426,v058,17.966667,TP
i427,v072,12.846167,TP
i428,v011,13.25,TP
i429,v012,0,FP
i430,v043,0,FP
i431,v072,1.034367,TP
i432,out,,TN
i433,v038,7.073733,TP
i434,v060,3.378375,TP
i435,v004,1.04,TP
i436,v074,8.866667,TP
i437,out,,TN
i438,v065,4.921583,TP
i439,v008,5.16,TP
i440,v087,15.08,TP
i441,v011,3.875,TP
i442,out,,TN
i443,v027,10.166667,TP
i444,v002,9.416667,TP
i445,out,,TN
i446,v099,4.166667,TP
i447,v073,3.169833,TP
i448,v075,8.76,TP
i449,v004,0,FP
i450,out,,FN
i451,v016,2.068733,TP
i452,out,,TN
i453,v044,0,FP
i454,v077,0.166833,TP
i455,v009,12.72,TP
i456,v059,2.533333,TP
i457,v020,4.88,TP
i458,v015,5.48,TP
i459,v028,3.370033,TP
i460,v082,0.417083,TP
i461,v095,7.64,TP
i462,v080,9.943267,TP
i463,v032,17.650967,TP
i464,v031,11.32,TP
i465,v045,14.64,TP
i466,out,,TN
i467,v099,3.866667,TP
i468,v016,9.075733,TP
i469,v014,4.166667,TP
i470,v028,3.3033,TP
i471,v014,2.666667,TP
i472,v096,4.971633,TP
i473,v099,5.166667,TP
i474,v007,9.843167,TP
i475,v007,0,FP
i476,v046,0.066733,TP
i477,v021,8.92,TP
i478,v079,12.52,TP
i479,v044,0,FP
i480,v095,16.12,TP
i481,v032,1.134467,TP
i482,v040,10.28,TP
i483,v066,0,FP
i484,v074,0,FP
i485,v070,13.96,TP
i486,v086,2.08,TP
i487,v012,0,FP
i488,v070,15.24,TP
i489,v081,5.983333,TP
i490,v094,12.479133,TP
i491,v076,17.033333,TP
i492,v021,15.12,TP
i493,v002,6.875,TP
i494,v023,4.671333,TP
i495,v010,19.76,TP
i496,v034,13.304958,TP
i497,out,,TN
i498,out,,TN
i499,v092,17.884533,TP
i500,v060,10.969292,TP
i501,out,,TN
i502,v007,12.445767,TP
i503,out,,TN
i504,v060,11.469792,TP
i505,v002,4.958333,TP
i506,v091,11.478133,TP
i507,v033,8.3083,TP
i508,out,,TN
i509,v045,2.64,TP
i510,v007,1.167833,TP
i511,v005,4.738067,TP
i512,v043,0,FP
i513,v063,5.7057,TP
i514,v045,11.88,TP
i515,v057,12.88,TP
i516,v054,1.768433,TP
i517,v032,4.9049,TP
i518,v056,2.369033,TP
i519,v018,14.5145,TP
i520,v074,4.333333,TP
i521,v007,9.2092,TP
i522,v048,0.64,TP
i523,v083,6.381375,TP
i524,v010,6.2,TP
i525,v011,9.458333,TP
i526,v041,20.186833,TP
i527,v036,0.9,TP
i528,v070,21.04,TP
i529,v066,0,FP
i530,v014,12.875,TP
i531,v061,2.210542,TP
i532,v092,17.951267,TP
i533,v094,3.003,TP
i534,v057,15.0,TP
i535,v060,2.877875,TP
i536,v015,0.32,TP
i537,v006,2.233333,TP
i538,v032,17.350667,TP
i539,v050,11.636625,TP
i540,v017,6.933333,TP
i541,v072,16.8168,TP
i542,v087,20.32,TP
i543,v035,3.128125,TP
i544,v009,9.6,TP
i545,v096,14.647967,TP
i546,v058,19.033333,TP
i547,v017,2.633333,TP
i548,v019,23.690333,TP
i549,v058,17.866667,TP
i550,v049,7.440767,TP
i551,v061,0,FP
i552,v032,19.786433,TP
i553,v071,5.1051,TP
i554,v080,16.649967,TP
i555,v028,10.443767,TP
i556,v090,3.837167,TP
i557,v078,15.432083,TP
i558,v072,11.544867,TP
i559,v012,0,FP
i560,v069,0.44,TP
i561,v030,0,FP
i562,v015,6.72,TP
i563,v096,0,FP
i564,v080,11.9119,TP
i565,v066,12.266667,TP
i566,v015,12.08,TP
i567,v009,0,FP
i568,v029,11.633333,TP
i569,v084,10.12,TP
i570,v050,7.173833,TP
i571,out,,TN
i572,v078,18.059708,TP
i573,v096,0.667333,TP
i574,v060,7.590917,TP
i575,v041,9.342667,TP
i576,v069,0.0,FP
i577,out,,TN
i578,v076,1.366667,TP
i579,v024,15.382033,TP
i580,v042,0.166833,TP
i581,v041,10.051708,TP
i582,v099,0,FP
i583,v048,7.8,TP
i584,v007,7.140467,TP
i585,v095,10.92,TP
i586,v050,2.043708,TP
i587,v062,5.28,FP
i588,v052,0,FP
i589,v076,1.333333,TP
i590,v046,7.273933,TP
i591,v082,2.1021,FP
i592,v020,0.4,TP
i593,v070,10.48,TP
i594,v024,7.674333,TP
i595,v016,0,FP
i596,v078,2.919583,TP
i597,v057,2.88,TP
i598,v094,8.041367,TP
i599,v084,1.56,TP
i600,out,,TN
i601,v054,7.540867,TP
i602,v085,3.128125,TP
i603,v007,5.438767,TP
i604,v019,18.476792,TP
i605,v081,0.516667,TP
i606,v018,11.177833,TP
i607,v019,19.227542,TP
i608,v039,4.629625,TP
i609,v097,1.918583,TP
i610,v040,9.36,TP
i611,v008,0.44,TP
i612,v064,6.539867,TP
i613,v057,1.0,TP
i614,v056,11.2112,TP
i615,v007,9.042367,TP
i616,v049,1.868533,TP
i617,v057,11.72,TP
i618,v019,8.591917,TP
i619,v006,4.333333,TP
i620,v092,17.884533,TP
i621,v008,17.04,FP
i622,v096,7.574233,TP
i623,out,,TN
i624,v006,4.6,TP
i625,v029,6.9,TP
i626,v079,9.0,TP
i627,v009,6.6,TP
i628,v007,11.9119,TP
i629,v036,8.633333,TP
i630,v059,0.633333,TP
i631,v038,7.374033,TP
i632,v004,7.32,TP
i633,v099,0,FP
i634,v024,10.1101,TP
i635,v021,4.0,TP
i636,v078,19.644625,TP
i637,v076,2.6,TP
i638,v042,6.172833,TP
i639,v035,3.795458,TP
i640,v092,20.053367,TP
i641,v075,1.04,TP
i642,v094,10.577233,TP
i643,v091,11.745067,TP
i644,v019,2.085417,TP
i645,out,,TN
i646,v095,6.48,TP
i647,v070,16.8,TP
i648,v030,6.68,TP
i649,v056,3.570233,TP
i650,v049,10.343667,TP
i651,out,,TN
i652,v069,0.04,TP
i653,v023,9.676333,TP
i654,v050,18.977292,TP
i655,v037,3.7,TP
i656,v044,6.04,TP
i657,v052,5.964292,TP
i658,v016,10.343667,TP
i659,v097,2.335667,TP
i660,out,,TN
i661,v034,8.633625,TP
i662,v008,17.56,TP
i663,v095,1.64,TP
i664,v014,4.25,TP
i665,v038,9.642967,TP
i666,v092,5.038367,TP
i667,v044,8.88,TP
i668,out,,TN
i669,v070,17.8,TP
i670,v042,17.384033,TP
i671,out,,FN
i672,v058,4.766667,TP
i673,out,,TN
i674,v068,13.52,TP
i675,v077,14.748067,TP
i676,v044,0,FP
i677,v021,16.88,TP
i678,v096,14.6146,TP
i679,v080,0,FP
i680,v042,17.484133,TP
i681,v082,3.1031,TP
i682,v080,10.043367,TP
i683,v088,1.4,TP
i684,v092,6.840167,TP
i685,v053,15.92,TP
i686,v041,18.810458,TP
i687,v030,0,FP
i688,v054,0,FP
i689,v080,0,FP
i690,v069,8.16,TP
i691,v045,10.68,TP
i692,v030,0,FP
i693,v030,16.64,TP
i694,v004,3.12,TP
i695,v054,4.437767,TP
i696,v050,21.146125,TP
i697,v056,13.980633,TP
i698,v007,2.669333,TP
i699,v062,8.32,TP
i700,v044,0,FP
i701,v037,1.766667,TP
i702,v053,5.56,TP
i703,v056,9.8098,TP
i704,v042,14.781433,TP
i705,v064,0.0,TP
i706,v034,1.918583,TP
i707,v044,0,FP
i708,v055,3.420083,TP
i709,v076,0,FP
i710,v100,0.0,TP
i711,v067,16.049367,TP
i712,v045,7.8,TP
i713,v085,4.25425,TP
i714,v051,5.666667,TP
i715,v076,19.766667,TP
i716,v016,0,FP
i717,v092,20.553867,FP
i718,v072,15.281933,TP
i719,v077,19.4194,TP
i720,v063,0,FP
i721,v070,1.8,TP
i722,v076,19.233333,TP
i723,v047,0.834167,TP
i724,v026,4.76,TP
i725,v039,2.293958,TP
i726,v088,6.56,TP
i727,v054,0,FP
i728,v058,8.133333,TP
i729,v001,8.0,TP
i730,v052,0,FP
i731,v070,6.44,TP
i732,v021,5.8,TP
i733,v044,10.48,TP
i734,out,,TN
i735,v071,8.341667,TP
i736,out,,TN
i737,v081,5.233333,TP
i738,v043,10.343667,TP
i739,v039,7.75775,TP
i740,v043,9.718042,TP
i741,v044,0,FP
i742,v042,10.9109,TP
i743,out,,FN
i744,v073,4.796458,TP
i745,v097,4.045708,TP
i746,v077,7.640967,TP
i747,v020,3.16,TP
i748,v032,2.869533,TP
i749,v030,0,FP
i750,v029,1.033333,TP
i751,v099,0.033333,TP
i752,out,,TN
i753,v018,11.177833,TP
i754,v066,7.3,TP
i755,v089,14.56,TP
i756,v089,9.92,TP
i757,v084,6.6,TP
i758,v057,12.96,TP
i759,v056,7.073733,TP
i760,v059,3.7,TP
i761,v007,0,FP
i762,v078,15.557208,TP
i763,v037,6.433333,TP
i764,v079,2.84,TP
i765,v063,1.234567,TP
i766,out,,TN
i767,v098,6.64,TP
i768,v071,8.174833,TP
i769,v007,0,FP
i770,v066,4.633333,TP
i771,v090,2.869533,TP
i772,v010,0.44,TP
i773,v096,11.5115,TP
i774,out,,TN
i775,v010,17.28,TP
i776,v082,0,FP
i777,out,,TN
i778,v093,4.8048,TP
i779,v013,4.212542,TP
i780,v052,0,FP
i781,v026,2.4,TP
i782,v012,2.210542,FP
i783,v020,10.08,TP
i784,v043,0,FP
i785,v005,1.001,TP
i786,v031,0.92,TP
i787,v074,0.8,TP
i788,v087,11.44,TP
i789,v067,4.971633,TP
i790,v066,0,FP
i791,v022,8.925583,TP
i792,out,,TN
i793,v024,10.977633,TP
i794,v013,13.054708,TP
i795,v066,0,FP
i796,v068,10.28,TP
i797,v043,6.673333,TP
i798,v035,1.626625,TP
i799,v059,8.233333,TP
i800,v100,13.166667,TP
i801,v052,7.966292,TP
i802,v083,7.048708,TP
i803,v077,10.477133,TP
i804,v029,5.333333,TP
i805,v074,1.133333,TP
i806,v061,0,FP
i807,v061,7.716042,TP
i808,v064,6.4064,TP
i809,v089,0.88,TP
i810,v056,12.345667,TP
i811,v083,2.377375,TP
i812,v041,12.012,TP
i813,v065,10.218542,TP
i814,out,,TN
i815,v009,0,FP
i816,v096,4.270933,TP
i817,v030,0,FP
i818,v027,5.633333,TP
i819,v043,0,FP
i820,v041,15.015,TP
i821,v015,1.84,TP
i822,v062,0,FP
i823,v048,3.08,TP
i824,v080,12.012,TP
i825,v078,18.059708,TP
i826,v016,1.6016,TP
i827,v012,2.168833,FP
i828,v027,8.533333,TP
i829,v036,5.1,TP
i830,v061,0,FP
i831,v018,14.5145,TP
i832,v091,4.2042,TP
i833,v044,0,FP
i834,v087,16.12,TP
i835,v013,0.291958,TP
i836,v069,9.12,TP
i837,v080,6.740067,TP
i838,v068,0.76,TP
i839,out,,TN
i840,v034,9.843167,TP
i841,v017,0,FP
i842,out,,TN
i843,v012,0,FP
i844,v062,0,FP
i845,v026,9.6,TP
i846,v083,1.042708,TP
i847,out,,FN
i848,v053,10.12,TP
i849,out,,TN
i850,v066,0.8,TP
i851,out,,FN
i852,v099,5.366667,TP
i853,v025,9.12,TP
i854,v058,1.133333,TP
i855,v049,5.672333,TP
i856,v030,10.08,TP
i857,v075,1.12,TP
i858,v004,8.88,TP
i859,v007,0,FP
i860,v098,7.8,TP
i861,v007,18.885533,TP
i862,v099,0,FP
i863,v043,8.466792,TP
i864,v083,6.548208,TP
i865,v068,15.2,TP
i866,v048,7.12,TP
i867,v047,2.3023,TP
i868,v088,0,FP
i869,v062,0,FP
i870,v099,0,FP
i871,v016,3.003,FP
i872,v021,12.08,TP
i873,v070,8.4,TP
i874,v045,5.48,TP
i875,v029,2.366667,TP
i876,v096,6.639967,TP
i877,v080,0,FP
i878,v023,10.3103,TP
i879,v069,6.12,TP
i880,v034,9.175833,TP
i881,v067,1.735067,TP
i882,v096,8.641967,TP
i883,v058,2.233333,TP
i884,v088,3.08,TP
i885,out,,TN
i886,v082,3.95395,TP
i887,v013,5.463792,TP
i888,v019,0,FP
i889,v084,10.8,TP
i890,v011,1.041667,TP
i891,v005,1.4014,TP
i892,v008,13.2,TP
i893,v021,8.48,TP
i894,v016,5.472133,TP
i895,v099,0,FP
i896,v017,3.133333,TP
i897,v010,18.72,TP
i898,v087,5.44,TP
i899,v045,15.92,TP
i900,v051,7.066667,TP
i901,v076,12.433333,TP
i902,v012,0,FP
i903,v062,0,FP
i904,v007,15.582233,TP
i905,v062,3.2,TP
i906,v009,13.6,TP
i907,v061,0,FP
i908,v035,9.843167,TP
i909,v074,5.866667,TP
i910,v015,16.84,TP
i911,v055,5.797458,TP
i912,v087,20.6,TP
i913,v061,3.920583,TP
i914,v036,6.8,TP
i915,v088,4.72,TP
i916,v082,0,FP
i917,v061,0,FP
i918,v094,6.4064,TP
i919,v014,1.291667,TP
i920,v012,2.210542,FP
i921,v065,15.557208,TP
i922,v009,8.2,TP
i923,v073,6.423083,TP
i924,v007,0,FP
i925,v052,3.336667,TP
i926,v045,13.88,TP
i927,out,,TN
i928,out,,TN
i929,v091,10.677333,TP
i930,v024,18.451767,TP
i931,v077,4.738067,TP
i932,v077,18.151467,TP
i933,v081,3.333333,TP
i934,v050,13.638625,TP
i935,v015,10.08,TP
i936,v032,4.9049,TP
i937,v060,4.75475,TP
i938,v030,0,FP
i939,v096,2.769433,TP
i940,out,,TN
i941,v072,16.249567,TP
i942,v072,9.009,TP
i943,v080,19.052367,TP
i944,v012,1.793458,FP
i945,v096,0,FP
i946,v071,1.9019,TP
i947,v067,2.936267,TP
i948,v035,5.964292,TP
i949,v087,0.4,TP
i950,v042,1.534867,TP
i951,v012,0,FP
i952,v094,1.2012,TP
i953,v047,6.773433,TP
i954,v045,4.08,TP
i955,v021,5.6,TP
i956,v035,3.712042,TP
i957,v061,0,FP
i958,v007,4.070733,TP
i959,v002,0.833333,TP
i960,v080,0.0,TP
i961,v071,8.041367,TP
i962,v053,14.6,TP
i963,out,,TN
i964,v077,6.8068,TP
i965,v051,4.566667,TP
i966,v085,8.800458,TP
i967,out,,TN
i968,v092,11.044367,TP
i969,v032,17.3173,TP
i970,v030,7.88,TP
i971,v023,0.567233,TP
i972,v099,5.366667,TP
i973,v012,0,FP
i974,v072,6.5065,TP
i975,v069,0.04,TP
i976,v098,0.44,TP
i977,v012,2.127125,FP
i978,v058,5.433333,TP
i979,v049,7.474133,TP
i980,v053,16.04,TP
i981,v044,6.72,TP
i982,v013,16.641625,TP
i983,v050,24.607917,TP
i984,v061,0,FP
i985,v087,23.48,TP
i986,v025,4.52,TP
i987,v037,4.966667,TP
i988,v016,0,FP
i989,v099,0,FP
i990,v063,4.070733,TP
i991,v089,17.76,TP
i992,v081,2.666667,TP
i993,v010,18.04,TP
i994,v086,8.4,TP
i995,v073,0.375375,TP
i996,v100,0.208333,TP
i997,v089,12.4,TP
i998,v042,8.541867,TP
i999,v080,16.950267,TP
