image,video_pred,minutage_pred,evaluation
i391,v087,23.0,TP
i392,v068,7.64,TP
i393,out,,FN
i394,out,,TN
i395,v066,12.766667,TP
i396,out,,FN
i397,out,,TN
i398,v096,0.767433,TP
i399,v019,19.978292,TP
i400,out,,TN
i401,v056,6.373033,TP
i402,v082,1.985317,TP
i403,v058,9.566667,TP
i404,v100,7.958333,TP
i405,out,,FN
i406,v092,7.173833,TP
i407,v087,3.8,TP
i408,v075,2.84,TP
i409,v066,2.366667,TP
i410,v029,12.766667,TP
i411,out,,TN
i412,v099,1.566667,TP
i413,out,,FN
i414,v011,8.958333,TP
i415,v085,1.960292,TP
i416,v019,5.964292,TP
i417,v003,3.169833,FP
i418,v012,8.967292,TP
i419,v048,10.52,TP
i420,v007,14.381033,TP
i421,v058,11.166667,TP
i422,v031,2.84,TP
i423,v033,9.576233,TP
i424,v027,7.166667,TP
i425,v028,8.775433,TP
i426,v058,18.366667,TP
i427,v072,12.779433,TP
i428,v011,13.958333,TP
i429,out,,TN
i430,out,,TN
i431,v072,0.767433,TP
i432,out,,TN
i433,v038,5.572233,TP
i434,v060,5.964292,TP
i435,v004,0.92,TP
i436,v074,7.166667,TP
i437,out,,TN
i438,v065,4.963292,TP
i439,v008,4.76,TP
i440,v087,14.36,TP
i441,v011,2.958333,TP
i442,out,,TN
i443,v027,11.166667,TP
i444,v002,1.958333,TP
i445,out,,TN
i446,v099,5.566667,TP
i447,v073,1.960292,TP
i448,v075,7.64,TP
i449,out,,TN
i450,out,,FN
i451,v016,0.767433,TP
i452,out,,TN
i453,out,,TN
i454,v077,2.369033,TP
i455,v009,0.92,TP
i456,v059,3.166667,TP
i457,v020,5.72,TP
i458,v015,5.72,TP
i459,v028,7.173833,TP
i460,v082,0.383717,TP
i461,v095,7.64,TP
i462,v080,8.775433,TP
i463,v032,19.986633,TP
i464,v031,10.52,TP
i465,v045,14.36,TP
i466,out,,TN
i467,v099,5.566667,TP
i468,v016,8.775433,TP
i469,v014,3.958333,TP
i470,v028,1.568233,TP
i471,v014,2.958333,TP
i472,v096,4.771433,TP
i473,v099,8.766667,TP
i474,v007,10.377033,TP
i475,out,,TN
i476,v046,0.767433,TP
i477,v021,3.8,TP
i478,out,,FN
i479,out,,TN
i480,out,,FN
i481,v032,3.169833,TP
i482,v040,3.8,TP
i483,out,,TN
i484,out,,TN
i485,v070,13.4,TP
i486,v086,6.68,TP
i487,out,,TN
i488,v070,16.28,TP
i489,v081,5.583333,TP
i490,v094,11.177833,TP
i491,v076,0.766667,TP
i492,v021,15.32,TP
i493,v002,5.958333,TP
i494,v023,5.572233,TP
i495,v010,14.36,TP
i496,v034,14.973292,TP
i497,out,,TN
i498,out,,TN
i499,v092,6.373033,TP
i500,v060,10.969292,TP
i501,out,,TN
i502,v007,16.783433,TP
i503,out,,TN
i504,v060,13.972292,TP
i505,v002,5.958333,TP
i506,v091,8.775433,TP
i507,v033,7.974633,TP
i508,out,,TN
i509,v045,1.88,TP
i510,v007,1.568233,TP
i511,v005,3.970633,TP
i512,out,,TN
i513,v063,6.373033,TP
i514,v045,12.44,TP
i515,v057,13.4,TP
i516,v054,2.369033,TP
i517,v032,18.385033,TP
i518,v056,2.369033,TP
i519,v018,0.959292,TP
i520,v074,4.766667,TP
i521,v007,9.576233,TP
i522,v048,0.92,TP
i523,out,,FN
i524,v010,3.8,TP
i525,v011,8.958333,TP
i526,v041,16.975292,TP
i527,v036,0.766667,TP
i528,v070,22.04,TP
i529,out,,TN
i530,v014,10.958333,TP
i531,v061,1.960292,TP
i532,v092,0.767433,TP
i533,v094,3.169833,TP
i534,out,,FN
i535,v060,3.962292,TP
i536,v015,0.92,TP
i537,v006,2.366667,TP
i538,v032,7.173833,TP
i539,v050,11.970292,TP
i540,v017,6.366667,TP
i541,v072,16.783433,TP
i542,v087,20.12,TP
i543,v035,3.962292,TP
i544,v009,9.56,TP
i545,v096,14.381033,TP
i546,v058,19.166667,TP
i547,v017,3.966667,TP
i548,out,,FN
i549,v058,3.966667,TP
i550,v049,14.381033,TP
i551,out,,TN
i552,v032,2.369033,TP
i553,v071,3.970633,TP
i554,v080,2.369033,TP
i555,v028,10.377033,TP
i556,v090,3.970633,TP
i557,v078,7.966292,TP
i558,out,,FN
i559,out,,TN
i560,v069,7.64,TP
i561,out,,TN
i562,v015,6.68,TP
i563,out,,TN
i564,v080,12.779433,TP
i565,v066,12.766667,TP
i566,v015,12.44,TP
i567,out,,TN
i568,v029,8.766667,TP
i569,v084,10.52,TP
i570,v050,6.965292,TP
i571,out,,TN
i572,v078,18.977292,TP
i573,v096,0.767433,TP
i574,v060,6.965292,TP
i575,out,,FN
i576,out,,FN
i577,out,,TN
i578,v076,0.766667,TP
i579,v024,15.982633,TP
i580,v042,0.767433,TP
i581,v041,9.968292,TP
i582,out,,TN
i583,v048,7.64,TP
i584,v007,6.373033,TP
i585,v095,11.48,TP
i586,v050,0.959292,TP
i587,out,,FN
i588,out,,TN
i589,v076,0.766667,TP
i590,v046,10.377033,TP
i591,out,,FN
i592,v020,0.92,TP
i593,v070,9.56,TP
i594,v024,7.173833,TP
i595,out,,TN
i596,v078,0.959292,TP
i597,v057,3.8,TP
i598,v094,8.775433,TP
i599,v084,7.64,TP
i600,out,,TN
i601,v054,8.775433,TP
i602,v085,6.965292,TP
i603,v007,5.572233,TP
i604,out,,FN
i605,v081,1.583333,TP
i606,v018,8.967292,TP
i607,v019,18.977292,TP
i608,v039,4.963292,TP
i609,v097,0.959292,TP
i610,v040,3.8,TP
i611,v008,0.92,TP
i612,v064,11.978633,TP
i613,v057,19.16,TP
i614,v056,11.177833,TP
i615,v007,7.974633,TP
i616,v049,4.771433,TP
i617,v057,11.48,TP
i618,v019,24.983292,TP
i619,v006,2.366667,TP
i620,v092,1.568233,TP
i621,v012,0.959292,TP
i622,v096,7.974633,TP
i623,out,,TN
i624,v006,4.766667,TP
i625,v029,7.166667,TP
i626,v079,9.56,TP
i627,v009,6.68,TP
i628,v007,12.779433,TP
i629,v036,8.766667,TP
i630,v059,0.766667,TP
i631,v038,7.974633,TP
i632,v004,8.6,TP
i633,out,,TN
i634,v024,10.377033,TP
i635,v021,1.88,TP
i636,v078,13.972292,TP
i637,v076,0.766667,TP
i638,v042,7.173833,TP
i639,v035,5.964292,TP
i640,v092,7.173833,TP
i641,v075,3.8,TP
i642,v094,3.970633,TP
i643,v091,11.978633,TP
i644,v019,24.983292,TP
i645,out,,TN
i646,v095,5.72,TP
i647,v070,18.2,TP
i648,v030,6.68,TP
i649,v056,3.970633,TP
i650,v049,12.779433,TP
i651,out,,TN
i652,out,,FN
i653,v023,10.377033,TP
i654,v050,18.977292,TP
i655,v037,4.766667,TP
i656,out,,FN
i657,v052,5.964292,TP
i658,v016,10.377033,TP
i659,v097,2.961292,TP
i660,out,,TN
i661,v034,16.975292,TP
i662,v008,10.52,TP
i663,v095,1.88,TP
i664,v014,9.958333,TP
i665,v038,9.576233,TP
i666,v092,7.173833,TP
i667,out,,FN
i668,out,,TN
i669,v070,23.96,TP
i670,v042,18.385033,TP
i671,out,,FN
i672,v058,4.766667,TP
i673,out,,TN
i674,v068,14.36,TP
i675,v077,15.982633,TP
i676,out,,TN
i677,v021,17.24,TP
i678,v096,13.580233,TP
i679,out,,TN
i680,v042,19.986633,TP
i681,v082,3.186517,TP
i682,v080,10.377033,TP
i683,out,,FN
i684,v092,3.970633,TP
i685,v053,15.32,TP
i686,v041,18.977292,TP
i687,out,,TN
i688,v054,0,FP
i689,out,,TN
i690,v069,1.88,TP
i691,v045,10.52,TP
i692,out,,TN
i693,v030,16.28,TP
i694,v004,5.72,TP
i695,v054,3.970633,TP
i696,v050,20.979292,TP
i697,v056,16.783433,TP
i698,v007,3.169833,TP
i699,v062,8.6,TP
i700,out,,TN
i701,v037,1.566667,TP
i702,v053,5.72,TP
i703,v056,9.576233,TP
i704,v042,15.181833,TP
i705,v064,11.978633,TP
i706,v034,0.959292,TP
i707,out,,TN
i708,v055,3.962292,TP
i709,out,,TN
i710,v100,0.958333,TP
i711,v067,17.584233,TP
i712,v045,7.64,TP
i713,v085,3.962292,TP
i714,v051,5.566667,TP
i715,v076,18.366667,TP
i716,out,,TN
i717,v012,6.965292,TP
i718,v072,15.181833,TP
i719,v077,1.568233,TP
i720,out,,TN
i721,v070,1.88,TP
i722,v076,0.766667,TP
i723,v047,0.767433,TP
i724,v026,5.72,TP
i725,v039,2.961292,TP
i726,v088,5.72,TP
i727,v054,0,FP
i728,v058,8.766667,TP
i729,v001,6.958333,TP
i730,out,,TN
i731,v070,6.68,TP
i732,v021,1.88,TP
i733,out,,FN
i734,out,,TN
i735,out,,FN
i736,out,,TN
i737,v081,3.983333,TP
i738,v043,10.969292,TP
i739,v039,7.966292,TP
i740,v043,0.959292,TP
i741,out,,TN
i742,v042,11.978633,TP
i743,out,,FN
i744,v073,4.963292,TP
i745,v097,4.963292,TP
i746,v077,17.584233,TP
i747,v020,3.8,TP
i748,v032,14.381033,TP
i749,out,,TN
i750,v029,0.766667,TP
i751,v099,0.766667,TP
i752,out,,TN
i753,v018,5.964292,TP
i754,v066,6.366667,TP
i755,v089,13.4,TP
i756,v089,10.52,TP
i757,v084,8.6,TP
i758,v057,14.36,TP
i759,v056,6.373033,TP
i760,v059,3.166667,TP
i761,out,,TN
i762,v078,6.965292,TP
i763,v037,7.966667,TP
i764,out,,FN
i765,v063,0.767433,TP
i766,out,,TN
i767,v098,6.68,TP
i768,v071,9.576233,TP
i769,out,,TN
i770,v066,3.966667,TP
i771,v090,3.169833,TP
i772,v010,2.84,TP
i773,v096,11.177833,TP
i774,out,,TN
i775,v010,17.24,TP
i776,out,,TN
i777,out,,TN
i778,v093,4.771433,TP
i779,v013,4.963292,TP
i780,out,,TN
i781,v026,2.84,TP
i782,v092,14.381033,TP
i783,v020,8.6,TP
i784,out,,TN
i785,v005,0.767433,TP
i786,v031,7.64,TP
i787,v074,0.766667,TP
i788,v087,11.48,TP
i789,v067,1.568233,TP
i790,out,,TN
i791,out,,FN
i792,out,,TN
i793,v024,11.978633,TP
i794,v013,12.971292,TP
i795,out,,TN
i796,v068,1.88,TP
i797,v043,5.964292,TP
i798,v035,1.960292,TP
i799,v059,8.766667,TP
i800,v100,12.958333,TP
i801,v052,7.966292,TP
i802,v083,6.965292,TP
i803,v077,16.783433,TP
i804,v029,7.166667,TP
i805,v074,3.166667,TP
i806,out,,TN
i807,v061,6.965292,TP
i808,v064,6.373033,TP
i809,v089,1.88,TP
i810,v056,11.978633,TP
i811,v083,1.960292,TP
i812,v041,5.964292,TP
i813,v065,9.968292,TP
i814,out,,TN
i815,out,,TN
i816,v096,3.970633,TP
i817,out,,TN
i818,v027,5.566667,TP
i819,out,,TN
i820,out,,FN
i821,v015,1.88,TP
i822,out,,TN
i823,v048,10.52,TP
i824,v080,14.381033,TP
i825,v078,3.962292,TP
i826,v016,1.568233,TP
i827,v092,14.381033,TP
i828,v027,8.766667,TP
i829,v036,4.766667,TP
i830,out,,TN
i831,v018,1.960292,TP
i832,v091,3.970633,TP
i833,out,,TN
i834,v087,13.4,TP
i835,v013,0.959292,TP
i836,v069,7.64,TP
i837,v080,6.373033,TP
i838,v068,0.92,TP
i839,out,,TN
i840,v034,12.971292,TP
i841,out,,TN
i842,out,,TN
i843,out,,TN
i844,v023,0,FP
i845,v026,9.56,TP
i846,v083,0.959292,TP
i847,v026,0.92,TP
i848,v053,9.56,TP
i849,out,,TN
i850,v066,0.766667,TP
i851,v100,11.958333,TP
i852,v099,3.166667,TP
i853,v025,4.76,TP
i854,v058,19.166667,TP
i855,v049,4.771433,TP
i856,out,,FN
i857,v075,5.72,TP
i858,v004,8.6,TP
i859,out,,TN
i860,v098,9.56,TP
i861,v007,19.185833,TP
i862,out,,TN
i863,v043,7.966292,TP
i864,v083,11.970292,TP
i865,v068,3.8,TP
i866,v048,7.64,TP
i867,v047,3.169833,TP
i868,out,,TN
i869,out,,TN
i870,out,,TN
i871,out,,FN
i872,v021,12.44,TP
i873,v070,8.6,TP
i874,v045,4.76,TP
i875,v029,2.366667,TP
i876,v096,6.373033,TP
i877,out,,TN
i878,v023,11.177833,TP
i879,v069,10.52,TP
i880,v034,16.975292,TP
i881,v067,16.783433,TP
i882,v096,8.775433,TP
i883,v058,3.166667,TP
i884,out,,FN
i885,out,,TN
i886,v082,3.987317,TP
i887,v013,7.966292,TP
i888,out,,TN
i889,v084,10.52,TP
i890,v011,0.958333,TP
i891,v005,8.775433,TP
i892,v008,11.48,TP
i893,v021,1.88,TP
i894,v016,5.572233,TP
i895,out,,TN
i896,v017,3.166667,TP
i897,v010,16.28,TP
i898,v087,5.72,TP
i899,v045,16.28,TP
i900,v051,7.166667,TP
i901,v076,11.966667,TP
i902,out,,TN
i903,out,,TN
i904,v007,14.381033,TP
i905,v062,3.8,TP
i906,v009,12.44,TP
i907,out,,TN
i908,v035,9.968292,TP
i909,v074,5.566667,TP
i910,v015,16.28,TP
i911,v055,4.963292,TP
i912,v087,23.96,TP
i913,v061,3.962292,TP
i914,v036,7.166667,TP
i915,v088,4.76,TP
i916,out,,TN
i917,out,,TN
i918,v094,5.572233,TP
i919,v014,0.958333,TP
i920,v092,7.173833,TP
i921,v065,14.973292,TP
i922,v009,7.64,TP
i923,v073,8.967292,TP
i924,out,,TN
i925,v052,3.962292,TP
i926,v045,13.4,TP
i927,out,,TN
i928,out,,TN
i929,v091,9.576233,TP
i930,v024,18.385033,TP
i931,v077,16.783433,TP
i932,v077,1.568233,TP
i933,v081,3.183333,TP
i934,v050,13.972292,TP
i935,v015,9.56,TP
i936,v032,14.381033,TP
i937,v060,4.963292,TP
i938,out,,TN
i939,v096,3.169833,TP
i940,out,,TN
i941,out,,FN
i942,v072,8.775433,TP
i943,v080,19.185833,TP
i944,v092,6.373033,TP
i945,out,,TN
i946,v071,2.369033,TP
i947,out,,FN
i948,v035,7.966292,TP
i949,v087,9.56,TP
i950,v042,2.369033,TP
i951,out,,TN
i952,v094,0.767433,TP
i953,v047,7.974633,TP
i954,v045,3.8,TP
i955,v021,4.76,TP
i956,v035,2.961292,TP
i957,out,,TN
i958,v007,3.970633,TP
i959,v002,0.958333,TP
i960,v080,5.572233,TP
i961,out,,FN
i962,v053,15.32,TP
i963,out,,TN
i964,v077,2.369033,TP
i965,v051,3.966667,TP
i966,v085,7.966292,TP
i967,out,,TN
i968,v092,16.783433,TP
i969,v032,10.377033,TP
i970,v030,8.6,TP
i971,v023,2.369033,TP
i972,v099,8.766667,TP
i973,out,,TN
i974,v072,1.568233,TP
i975,v069,12.44,TP
i976,v098,2.84,TP
i977,v092,7.974633,TP
i978,v058,3.166667,TP
i979,v049,4.771433,TP
i980,v053,0.92,TP
i981,v044,0.92,TP
i982,v013,15.974292,TP
i983,v050,21.980292,TP
i984,out,,TN
i985,v087,18.2,TP
i986,v025,7.64,TP
i987,v037,4.766667,TP
i988,out,,TN
i989,out,,TN
i990,v063,2.369033,TP
i991,v089,16.28,TP
i992,v081,2.783333,TP
i993,v010,19.16,TP
i994,v086,7.64,TP
i995,v073,1.960292,TP
i996,v100,0.958333,TP
i997,v089,12.44,TP
i998,v042,8.775433,TP
i999,v080,16.783433,TP
